date,ship,arrival,departure,cruiseline
2027-02-06,Viking Vesta,,,Viking
2027-02-08,Viking Neptune,,,Viking
2027-02-11,Star Explorer,,,Windstar
2027-02-12,Star Explorer,,,Windstar
2027-02-12,Viking Saturn,,,Viking
2027-02-21,Viking Mira,,,Viking
2027-02-23,Viking Mars,,,Viking
2027-02-27,Viking Star,,,Viking
